YEAR,PLAYER,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
2022,"McGowens, Bryce",SG,77.25,181.2,21.35,0.0540,80.75,103.5,8.75,9.50,29.5,34.0,11.12,3.16,3.27,NA,1.045,83.1,133.0,137.5
2022,"Mohammed, Aminu",SG-SF,75.5,212.8,26.24,0.0510,83.00,104.0,8.75,9.50,29.5,36.0,11.54,3.04,3.33,NA,1.099,83.1,133.5,140.0
2022,"Molinar, Iverson",PG,74.25,183.2,23.36,0.0480,80.00,101.0,8.50,9.50,31.0,38.0,11.23,3.10,3.19,NA,1.077,80.8,132.0,139.0
2022,"Montero, Jean",PG,73,171.8,22.66,0.0740,77.25,98.5,8.00,8.80,29.5,37.0,11.19,3.17,3.17,NA,1.058,70.0,128.0,135.5
2022,"Moore, Wendell",SG,76.25,217.2,26.26,0.0750,84.50,101.0,8.75,10.30,32.5,38.5,10.94,3.21,3.30,NA,1.108,89.7,133.5,139.5
2022,"Nembhard, Andrew",PG,75,195.6,24.45,0.0440,77.75,99.0,8.00,9.50,26.5,35.0,10.46,3.02,3.26,NA,1.037,76.0,125.5,134.0
2022,"Pippen Jr., Scotty",PG,72,180.0,24.41,0.0530,77.75,95.5,7.75,9.00,30.5,37.5,11.07,3.10,3.21,NA,1.080,69.8,126.0,133.0
2022,"Procida, Gabriele",SG-SF,77.75,192.8,22.42,0.0380,80.00,106.0,8.00,9.30,29.5,35.0,11.02,3.14,3.07,NA,1.029,74.0,135.5,141.0
2022,"Robinson, Orlando",C,81.75,244.4,25.71,0.0950,88.00,111.0,8.75,10.00,23.0,27.5,11.40,3.23,3.55,NA,1.076,87.5,134.0,138.5
2022,"Roddy, David",PF,76.5,260.8,31.33,0.1160,83.50,105.0,8.75,10.00,27.0,35.5,10.75,3.10,3.22,NA,1.092,87.5,132.0,140.5
